epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,15319.4,0.64143,0.5608,0.96522,0.99564,0.98813,0.99469,0.8902,0.55321,0.39448,0.8948,0.000495291,0.000495291,0.000495291
68,15569.3,0.625,0.52261,0.96371,0.9884,0.99781,0.995,0.88261,0.56761,0.40865,0.90608,0.000481144,0.000481144,0.000481144
69,15794.1,0.62929,0.5439,0.96396,0.99034,0.99732,0.99494,0.88604,0.5581,0.38684,0.89585,0.000466997,0.000466997,0.000466997
70,16002.4,0.60854,0.51902,0.96297,0.99173,0.98573,0.99472,0.88218,0.58525,0.38555,0.90473,0.00045285,0.00045285,0.00045285
71,16217.6,0.62423,0.53203,0.95941,0.97943,0.99744,0.99467,0.87988,0.57027,0.39594,0.89374,0.000438703,0.000438703,0.000438703
72,16426.7,0.63523,0.52928,0.9673,0.97917,0.99667,0.99483,0.88469,0.56597,0.3812,0.88463,0.000424556,0.000424556,0.000424556
73,16653.3,0.61509,0.54033,0.97348,0.98437,0.99792,0.99444,0.88886,0.57302,0.37912,0.88845,0.000410409,0.000410409,0.000410409
74,16899.8,0.59499,0.52291,0.94675,0.99671,0.97876,0.99396,0.887,0.55562,0.39049,0.88887,0.000396262,0.000396262,0.000396262
75,17143.9,0.61909,0.537,0.96467,0.97635,0.98276,0.99377,0.88037,0.56124,0.37188,0.8914,0.000382115,0.000382115,0.000382115
76,17383.8,0.59964,0.51799,0.94685,0.98052,0.99425,0.99438,0.90131,0.53972,0.38174,0.88675,0.000367967,0.000367967,0.000367967
77,17591.6,0.58115,0.49385,0.94244,0.99017,1,0.99466,0.89568,0.5357,0.37219,0.87742,0.00035382,0.00035382,0.00035382
78,17798.9,0.58788,0.50739,0.94385,0.98313,0.99659,0.99466,0.89664,0.53408,0.37103,0.87999,0.000339673,0.000339673,0.000339673
79,18005.8,0.59326,0.50042,0.96072,0.99715,0.99083,0.99484,0.89993,0.51293,0.36223,0.87239,0.000325526,0.000325526,0.000325526
80,18213.4,0.60358,0.50591,0.95559,0.99347,0.99381,0.99494,0.89935,0.51138,0.35362,0.87175,0.000311379,0.000311379,0.000311379
81,18420,0.58057,0.4818,0.94376,0.9926,0.98851,0.99467,0.9037,0.50323,0.35004,0.87064,0.000297232,0.000297232,0.000297232
82,18649.3,0.58172,0.50297,0.95342,0.98101,1,0.99466,0.8963,0.47745,0.34128,0.86722,0.000283085,0.000283085,0.000283085
83,18899.8,0.56029,0.47328,0.93971,0.99221,0.99639,0.995,0.90662,0.48522,0.34992,0.86816,0.000268938,0.000268938,0.000268938
84,19139,0.57042,0.49137,0.94012,0.98246,1,0.99472,0.90594,0.48468,0.34558,0.86378,0.000254791,0.000254791,0.000254791
85,19347.1,0.57868,0.47477,0.95337,0.99441,0.99122,0.99494,0.90504,0.49472,0.33617,0.86628,0.000240644,0.000240644,0.000240644
86,19557.4,0.55791,0.47545,0.9351,0.98921,1,0.995,0.90737,0.49025,0.33066,0.86691,0.000226497,0.000226497,0.000226497
87,19765.1,0.54857,0.46283,0.92414,0.98823,1,0.995,0.90726,0.49865,0.33575,0.87028,0.000212349,0.000212349,0.000212349
88,19982.9,0.58224,0.48139,0.9516,0.99379,0.99274,0.99494,0.90716,0.49713,0.33937,0.87011,0.000198202,0.000198202,0.000198202
89,20213.2,0.54289,0.44788,0.92516,0.98047,0.9994,0.99455,0.9064,0.48825,0.33389,0.869,0.000184055,0.000184055,0.000184055
90,20431.4,0.5579,0.4499,0.9232,0.98478,1,0.99483,0.91467,0.496,0.33568,0.86724,0.000169908,0.000169908,0.000169908
91,20663.4,0.47742,0.40144,0.89561,0.99308,0.99758,0.995,0.90489,0.51992,0.35113,0.87076,0.000155761,0.000155761,0.000155761
92,20888.4,0.45893,0.36268,0.88734,0.98631,0.99425,0.99494,0.89835,0.519,0.34947,0.87626,0.000141614,0.000141614,0.000141614
93,21093.1,0.46687,0.36784,0.88205,0.98359,0.99425,0.99477,0.90917,0.50381,0.34496,0.86726,0.000127467,0.000127467,0.000127467
94,21298.3,0.4569,0.34757,0.86411,0.99502,0.98485,0.99484,0.92368,0.48153,0.34833,0.86361,0.00011332,0.00011332,0.00011332
95,21504.9,0.44812,0.3469,0.8715,0.99253,0.99425,0.99494,0.91883,0.49424,0.34304,0.86944,9.91726e-05,9.91726e-05,9.91726e-05
96,21710.8,0.43834,0.34146,0.86647,0.99077,0.99425,0.99489,0.93268,0.46659,0.32686,0.86413,8.50255e-05,8.50255e-05,8.50255e-05
97,21917.8,0.42713,0.33398,0.868,0.99136,0.99425,0.99494,0.92925,0.46659,0.32197,0.86241,7.08784e-05,7.08784e-05,7.08784e-05
98,22126.5,0.43067,0.32799,0.87481,0.98914,0.99425,0.99494,0.92869,0.46648,0.31995,0.86154,5.67313e-05,5.67313e-05,5.67313e-05
99,22333.4,0.42464,0.32949,0.85943,0.98935,0.99425,0.99494,0.93009,0.46414,0.31892,0.85972,4.25842e-05,4.25842e-05,4.25842e-05
100,22537.7,0.42715,0.32917,0.86383,0.99244,0.9981,0.995,0.94064,0.45982,0.3164,0.85828,2.84371e-05,2.84371e-05,2.84371e-05
